               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.031888,           0.0061513,           0.0045213,             0.96374,                   1,               0.995,             0.73249,            0.025858,            0.003322,           0.0041555,           0.0076834,           0.0076834,           0.0076834
                 119,            0.027638,           0.0061721,           0.0043613,             0.86321,                   1,             0.98427,             0.70118,            0.032398,           0.0033672,           0.0040933,           0.0076636,           0.0076636,           0.0076636
                 120,            0.037354,           0.0053481,           0.0044051,             0.92353,                   1,               0.995,             0.69785,            0.028718,           0.0032922,           0.0041467,           0.0076438,           0.0076438,           0.0076438
                 121,             0.02997,           0.0067311,           0.0048786,             0.86963,                   1,             0.93288,             0.65837,             0.03081,           0.0032937,           0.0041331,            0.007624,            0.007624,            0.007624
                 122,            0.031748,           0.0067713,           0.0044725,             0.96662,                   1,               0.995,             0.74348,            0.022364,           0.0033368,           0.0042279,           0.0076042,           0.0076042,           0.0076042
                 123,            0.029471,           0.0069388,           0.0053573,             0.83034,                   1,             0.97833,             0.66812,            0.032795,           0.0033103,           0.0042364,           0.0075844,           0.0075844,           0.0075844
                 124,            0.034657,           0.0061721,           0.0049846,             0.92834,                   1,               0.995,             0.69818,            0.028161,           0.0032944,           0.0041826,           0.0075646,           0.0075646,           0.0075646
                 125,            0.031437,           0.0060243,           0.0045548,             0.89324,                   1,             0.94294,              0.7066,            0.028918,           0.0032151,           0.0042648,           0.0075448,           0.0075448,           0.0075448
                 126,            0.029653,           0.0071428,           0.0052518,             0.81737,                   1,             0.90038,             0.61624,            0.032523,           0.0032916,           0.0042827,            0.007525,            0.007525,            0.007525
                 127,            0.039195,           0.0059152,           0.0047626,             0.96318,                   1,               0.995,             0.75664,            0.023606,           0.0032627,           0.0044228,           0.0075052,           0.0075052,           0.0075052
                 128,            0.025838,           0.0059197,           0.0048508,             0.89658,             0.98039,             0.97406,             0.65477,            0.031818,           0.0032251,           0.0043376,           0.0074854,           0.0074854,           0.0074854
                 129,            0.034436,           0.0049724,           0.0052145,             0.89262,                   1,             0.97707,             0.63914,            0.027809,           0.0032363,           0.0043683,           0.0074656,           0.0074656,           0.0074656
                 130,            0.027621,           0.0050715,           0.0057225,             0.66837,                   1,              0.9167,             0.61878,            0.031911,           0.0032867,           0.0042171,           0.0074458,           0.0074458,           0.0074458
                 131,             0.03353,            0.006423,           0.0046088,             0.72686,                   1,             0.93942,             0.61162,            0.034637,           0.0032104,           0.0041743,            0.007426,            0.007426,            0.007426
                 132,            0.033072,           0.0063901,           0.0046371,             0.74707,                   1,               0.995,             0.62158,            0.029453,           0.0033225,           0.0042391,           0.0074062,           0.0074062,           0.0074062
                 133,            0.031047,           0.0066957,           0.0046202,             0.88257,                   1,               0.995,             0.68332,            0.027394,           0.0032083,           0.0041495,           0.0073864,           0.0073864,           0.0073864
                 134,            0.030575,           0.0055311,           0.0047727,             0.78896,                   1,             0.93288,             0.67823,            0.026389,           0.0032456,           0.0041518,           0.0073666,           0.0073666,           0.0073666
                 135,            0.030288,           0.0058701,           0.0050093,             0.80596,                   1,             0.95852,             0.64295,            0.026714,           0.0031734,           0.0039836,           0.0073468,           0.0073468,           0.0073468
                 136,            0.029323,           0.0059489,           0.0043934,             0.96183,                   1,               0.995,             0.82079,            0.023812,           0.0031946,           0.0040277,            0.007327,            0.007327,            0.007327
                 137,             0.02869,            0.006196,           0.0046112,             0.86581,                   1,             0.94357,              0.6049,            0.027422,           0.0031896,            0.003932,           0.0073072,           0.0073072,           0.0073072
                 138,            0.030345,           0.0061697,           0.0045722,             0.92389,                   1,               0.995,             0.74451,            0.024954,           0.0031831,           0.0039331,           0.0072874,           0.0072874,           0.0072874
                 139,            0.030733,           0.0053201,            0.004667,             0.96712,                   1,               0.995,             0.59436,            0.027804,           0.0031944,           0.0038005,           0.0072676,           0.0072676,           0.0072676
                 140,            0.030343,           0.0061953,           0.0039854,             0.96853,                   1,               0.995,             0.77437,            0.021757,           0.0031884,           0.0037858,           0.0072478,           0.0072478,           0.0072478
                 141,            0.031411,           0.0053103,           0.0042446,             0.97877,                   1,               0.995,             0.60913,            0.025161,           0.0031884,           0.0036979,            0.007228,            0.007228,            0.007228
                 142,            0.028239,           0.0053896,           0.0042304,             0.97542,                   1,               0.995,             0.77753,            0.025106,           0.0031823,            0.003673,           0.0072082,           0.0072082,           0.0072082
                 143,            0.030412,            0.005297,           0.0044478,             0.98613,                   1,               0.995,             0.62006,            0.028277,           0.0031836,           0.0036656,           0.0071884,           0.0071884,           0.0071884
                 144,            0.028517,           0.0053591,           0.0040344,             0.88765,                   1,             0.93071,             0.64475,            0.031185,           0.0031733,           0.0036912,           0.0071686,           0.0071686,           0.0071686
                 145,            0.034691,           0.0046146,           0.0040931,             0.89698,                   1,             0.98214,             0.64075,            0.022958,           0.0031669,           0.0037456,           0.0071488,           0.0071488,           0.0071488
                 146,            0.025774,           0.0056275,           0.0047872,             0.98324,                   1,               0.995,              0.7347,            0.027843,           0.0031157,           0.0037576,            0.007129,            0.007129,            0.007129
                 147,            0.032838,           0.0048863,           0.0047223,             0.98105,                   1,               0.995,             0.64847,            0.022421,           0.0031412,           0.0037972,           0.0071092,           0.0071092,           0.0071092
                 148,            0.025463,           0.0069507,           0.0044377,             0.97817,                   1,               0.995,             0.77833,            0.026023,           0.0031372,           0.0037983,           0.0070894,           0.0070894,           0.0070894
